Track,Track Version,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
dh,2024all,idai-pactols,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,idai-pactols,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,29,0,29,-,-
dh,2024all,idai-pactols,tim-1.0-web-latest.tar.gz,INSTANCES,0.044444444444444446,0.11764705882352941,0.11764705882352941,0.06451612903225806,2,43,15,45,-,-
dh,2024all,pactols-parthenos,tim-1.0-web-latest.tar.gz,ALL,0.12698412698412698,0.6666666666666666,0.6666666666666666,0.21333333333333335,8,55,4,63,325366263,00:00:00
dh,2024all,pactols-parthenos,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,pactols-parthenos,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,18,0,18,-,-
dh,2024all,pactols-parthenos,tim-1.0-web-latest.tar.gz,INSTANCES,0.18181818181818182,0.6666666666666666,0.6666666666666666,0.28571428571428575,8,36,4,44,-,-
dh,2024all,ironagedanube-pactols,tim-1.0-web-latest.tar.gz,ALL,0.02666666666666667,0.4,0.4,0.05,2,73,3,75,346577188,00:00:00
dh,2024all,ironagedanube-pactols,tim-1.0-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
dh,2024all,ironagedanube-pactols,tim-1.0-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,29,0,29,-,-
dh,2024all,ironagedanube-pactols,tim-1.0-web-latest.tar.gz,INSTANCES,0.044444444444444446,0.4,0.4,0.07999999999999999,2,43,3,45,-,-
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.5,0.4,0.4,0.4444444444444445,4,4,6,8,1979232592,00:00:01
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,dha-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.5,0.4,0.4,0.4444444444444445,4,4,6,8,-,-
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.2,0.2,0.2,0.20000000000000004,2,8,8,10,4239316960,00:00:04
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,defc-pactols,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.2,0.2,0.2,0.20000000000000004,2,8,8,10,-,-
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.6808510638297872,0.6808510638297872,0.810126582278481,32,0,15,32,1211351697,00:00:01
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,oeai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,1.0,0.6808510638297872,0.6808510638297872,0.810126582278481,32,0,15,32,-,-
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,0.0,0.0,0.0,0.0,0,0,15,0,2866633092,00:00:02
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
dh,2024all,tadirah-unesco,logmap-bio-melt-oaei-2021-web-latest.tar.gz,INSTANCES,0.0,0.0,0.0,0.0,0,0,15,0,-,-
dh,2024all,idai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,ALL,1.0,0.17307692307692307,0.17307692307692307,0.29508196721311475,9,0,43,9,1170458674,00:00:01
dh,2024all,idai-parthenos,logmap-bio-melt-oaei-2021-web-latest.tar.gz,CLASSES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
